	Vendor	Trip Distance (in Miles)	Trip Cost	Trip Time (in Minutes)
104	Taxi	10.67	$19.71 	18.41
105	Taxi	13.19	$26.60 	22.75
106	Taxi	23.78	$16.59 	41.0
107	Taxi	10.9	$24.86 	18.79
108	Taxi	12.6	$21.00 	21.73
109	Taxi	16.05	$18.98 	27.68
110	Taxi	14.96	$15.83 	25.79
111	Taxi	13.92	$40.00 	24.0
112	Taxi	19.18	$18.12 	33.07
113	Taxi	37.66	$20.64 	64.94
114	Taxi	15.12	$28.18 	26.07
115	Taxi	17.23	$26.81 	29.71
116	Taxi	21.99	$26.66 	37.92
117	Taxi	11.87	$13.71 	20.47
118	Taxi	14.82	$25.84 	25.56
119	Taxi	0.05	$34.35 	0.09
120	Taxi	10.66	$7.31 	18.38
121	Taxi	17.27	$5.65 	29.77
122	Taxi	14.74	$30.26 	25.42
123	Taxi	14.1	$29.10 	24.31
124	Taxi	21.78	$10.53 	37.55
125	Taxi	23.95	$23.82 	41.3
126	Taxi	12.83	$21.31 	22.12
127	Taxi	18.23	$18.67 	31.44
128	Taxi	12.38	$14.79 	21.35
129	Taxi	24.35	$15.43 	41.98
130	Taxi	16.35	$16.64 	28.19
131	Taxi	11.23	$23.38 	19.37
132	Taxi	16.98	$36.26 	29.27
133	Taxi	16.11	$16.45 	27.79
134	Taxi	17.44	$28.21 	30.06
135	Taxi	17.76	$13.52 	30.62
136	Taxi	10.38	$21.34 	17.9
137	Taxi	14.99	$20.82 	25.85
138	Taxi	16.92	$27.97 	29.18
139	Taxi	22.97	$30.46 	39.61
140	Taxi	16.91	$28.03 	29.16
141	Taxi	16.97	$32.22 	29.27
142	Taxi	6.79	$33.98 	11.71
143	Taxi	12.79	$16.80 	22.06
144	Taxi	20.84	$22.00 	35.93
145	Taxi	16.98	$12.12 	29.29
146	Taxi	12.48	$11.21 	21.53
147	Taxi	8.54	$20.17 	14.73
148	Taxi	17.85	$21.07 	30.78
149	Taxi	19.61	$21.19 	33.81
150	Taxi	18.37	$20.68 	31.68
151	Taxi	10.04	$36.11 	17.31
152	Taxi	12.52	$9.56 	21.59
153	Taxi	27.86	$20.67 	48.03
154	Taxi	15.59	$18.40 	26.88
155	Taxi	12.84	$15.40 	22.15
156	Taxi	16.73	$22.69 	28.84
157	Taxi	16.31	$27.65 	28.12
158	Taxi	16.78	$19.56 	28.93
159	Taxi	25.34	$19.91 	43.7
160	Taxi	14.3	$15.29 	24.66
161	Taxi	19.93	$37.32 	34.37
162	Taxi	22.04	$25.79 	38.0
163	Taxi	9.41	$34.11 	16.23
164	Taxi	20.13	$27.73 	34.7
165	Taxi	15.02	$19.29 	25.89
166	Taxi	13.18	$29.86 	22.74
167	Taxi	23.68	$21.78 	40.83
168	Taxi	24.91	$29.66 	42.96
169	Taxi	15.71	$31.25 	27.09
170	Taxi	10.98	$20.62 	18.93
171	Taxi	17.15	$24.91 	29.57
172	Taxi	15.34	$17.43 	26.45
173	Taxi	23.24	$24.21 	40.07
174	Taxi	10.61	$29.17 	18.29
175	Taxi	11.03	$41.15 	19.02
176	Taxi	19.0	$29.49 	32.76
177	Taxi	12.56	$24.91 	21.67
178	Taxi	13.25	$15.80 	22.85
179	Taxi	11.19	$25.17 	19.3
180	Taxi	20.37	$6.43 	35.13
181	Taxi	12.41	$16.07 	21.41
182	Taxi	14.28	$1.65 	24.63
183	Taxi	28.63	$28.88 	49.37
184	Taxi	6.38	$8.67 	11.01
185	Taxi	23.27	$25.68 	40.13
186	Taxi	11.69	$19.97 	20.16
187	Taxi	20.01	$15.20 	34.5
188	Taxi	21.37	$12.18 	36.84
189	Taxi	13.41	$20.63 	23.12
190	Taxi	12.47	$22.33 	21.51
191	Taxi	17.36	$20.70 	29.93
192	Taxi	17.18	$18.87 	29.62
193	Taxi	10.57	$23.60 	18.22
194	Taxi	6.8	$19.07 	11.73
195	Taxi	20.61	$9.49 	35.54
196	Taxi	12.83	$23.86 	22.13
197	Taxi	23.24	$17.98 	40.07
198	Taxi	4.49	$19.34 	7.74
199	Taxi	20.91	$30.15 	36.05
200	Taxi	19.88	$25.32 	34.28
201	Taxi	23.62	$23.36 	40.72
202	Taxi	25.19	$24.23 	43.43
203	Taxi	18.98	$39.51 	32.72
204	Taxi	14.58	$10.24 	25.15
205	Taxi	18.63	$11.64 	32.13
206	Taxi	18.75	$25.40 	32.33
207	Taxi	23.3	$24.38 	40.17
208	Taxi	8.82	$21.07 	15.2
209	Taxi	17.7	$18.43 	30.51
210	Taxi	15.71	$20.06 	27.09
211	Taxi	12.71	$24.48 	21.92
212	Taxi	20.9	$26.71 	36.03
213	Taxi	14.57	$28.12 	25.12
214	Taxi	17.52	$26.63 	30.22
215	Taxi	13.94	$31.75 	24.03
216	Taxi	25.16	$18.21 	43.39
217	Taxi	25.06	$22.14 	43.22
218	Taxi	15.06	$18.03 	25.96
219	Taxi	14.41	$20.02 	24.85
220	Taxi	7.2	$34.05 	12.42
221	Taxi	12.45	$24.42 	21.47
222	Taxi	9.38	$21.66 	16.18
223	Taxi	16.71	$33.38 	28.82
224	Taxi	23.13	$24.12 	39.88
225	Taxi	14.1	$21.87 	24.32
226	Taxi	22.7	$18.80 	39.14
227	Taxi	19.35	$22.38 	33.36
228	Taxi	13.15	$14.53 	22.67
229	Taxi	13.77	$10.19 	23.75
230	Taxi	9.99	$24.90 	17.23
231	Taxi	6.79	$16.88 	11.7
232	Taxi	22.58	$26.22 	38.93
233	Taxi	9.44	$25.39 	16.28
234	Taxi	16.39	$15.66 	28.27
235	Taxi	14.45	$24.59 	24.92
236	Taxi	13.42	$19.93 	23.15
237	Taxi	10.12	$22.64 	17.45
238	Taxi	16.0	$20.81 	27.58
239	Taxi	14.68	$22.42 	25.32
240	Taxi	18.22	$28.96 	31.43
241	Taxi	11.47	$20.10 	19.78
242	Taxi	19.09	$26.04 	32.92
243	Taxi	17.68	$10.69 	30.49
244	Taxi	25.6	$14.85 	44.15
245	Taxi	17.7	$17.00 	30.52
246	Taxi	10.0	$24.58 	17.24
247	Taxi	20.51	$28.95 	35.37
248	Taxi	23.13	$26.07 	39.88
249	Taxi	14.87	$31.28 	25.65
250	Taxi	6.14	$18.97 	10.59
251	Taxi	21.38	$18.40 	36.86
252	Taxi	14.1	$23.18 	24.32
253	Taxi	24.83	$32.79 	42.82
254	Taxi	26.65	$22.78 	45.95
255	Taxi	21.62	$26.05 	37.28
256	Taxi	20.45	$22.06 	35.27
257	Taxi	13.4	$19.88 	23.12
258	Taxi	16.06	$34.69 	27.69
259	Taxi	16.57	$8.35 	28.58
260	Taxi	20.01	$21.25 	34.5
261	Taxi	11.15	$17.88 	19.23
262	Taxi	17.39	$24.27 	29.98
263	Taxi	24.23	$38.48 	41.78
264	Taxi	30.84	$19.52 	53.18
265	Taxi	18.42	$10.07 	31.76
266	Taxi	13.37	$26.30 	23.05
267	Taxi	22.03	$11.88 	37.98
268	Taxi	20.24	$20.56 	34.9
269	Taxi	21.44	$23.73 	36.97
270	Taxi	6.5	$26.46 	11.2
271	Taxi	26.29	$22.75 	45.34
272	Taxi	22.63	$25.84 	39.02
273	Taxi	3.02	$15.37 	5.2
274	Taxi	12.12	$23.06 	20.9
275	Taxi	15.18	$22.12 	26.17
276	Taxi	7.58	$28.04 	13.06
277	Taxi	11.76	$23.87 	20.28
278	Taxi	28.16	$17.59 	48.56
279	Taxi	19.9	$23.75 	34.31
280	Taxi	17.37	$24.14 	29.96
281	Taxi	19.04	$17.08 	32.84
282	Taxi	18.16	$25.49 	31.31
283	Taxi	17.95	$19.04 	30.95
284	Taxi	27.9	$13.79 	48.11
285	Taxi	7.15	$34.56 	12.34
286	Taxi	8.86	$24.50 	15.28
287	Taxi	23.19	$15.56 	39.98
288	Taxi	24.58	$27.97 	42.38
289	Taxi	26.98	$21.68 	46.53
290	Taxi	11.42	$24.93 	19.7
291	Taxi	19.28	$12.66 	33.24
292	Taxi	9.87	$19.74 	17.02
293	Taxi	13.05	$32.95 	22.51
294	Taxi	18.27	$30.40 	31.51
295	Taxi	22.12	$17.23 	38.14
296	Taxi	8.68	$21.70 	14.96
297	Taxi	10.19	$27.81 	17.57
298	Taxi	6.78	$33.03 	11.7
299	Taxi	8.71	$17.14 	15.02
300	Taxi	20.93	$9.38 	36.09
301	Taxi	13.62	$35.42 	23.49
302	Taxi	17.35	$15.63 	29.92
303	Taxi	18.95	$24.76 	32.67
304	Taxi	19.77	$26.39 	34.09
305	Taxi	26.16	$12.45 	45.1
306	Taxi	18.02	$22.55 	31.07
307	Taxi	15.01	$16.52 	25.88
308	Taxi	16.91	$23.12 	29.16
309	Taxi	18.94	$25.77 	32.66
310	Taxi	20.83	$17.60 	35.92
311	Taxi	7.58	$32.51 	13.07
312	Taxi	8.78	$16.03 	15.14
313	Taxi	22.54	$30.78 	38.86
314	Taxi	2.3	$16.02 	3.97
315	Taxi	16.39	$23.29 	28.27
316	Taxi	14.26	$22.05 	24.58
317	Taxi	15.7	$27.05 	27.07
318	Taxi	10.37	$17.79 	17.88
319	Taxi	24.79	$33.37 	42.75
320	Taxi	17.45	$39.59 	30.09
321	Taxi	17.24	$20.95 	29.72
322	Taxi	17.72	$13.46 	30.55
323	Taxi	22.49	$33.92 	38.79
324	Taxi	25.97	$36.91 	44.78
325	Taxi	14.99	$26.94 	25.85
326	Taxi	13.49	$15.82 	23.26
327	Taxi	21.12	$13.93 	36.43
328	Taxi	29.98	$23.77 	51.69
329	Taxi	23.51	$32.07 	40.54
330	Taxi	13.59	$30.58 	23.43
331	Taxi	17.82	$28.01 	30.72
332	Taxi	14.05	$19.43 	24.22
333	Taxi	13.19	$22.44 	22.74
334	Taxi	17.51	$17.21 	30.19
335	Taxi	23.27	$20.37 	40.12
336	Taxi	10.26	$10.74 	17.69
337	Taxi	14.38	$24.54 	24.81
338	Taxi	21.25	$26.35 	36.64
339	Taxi	13.46	$20.97 	23.22
340	Taxi	11.11	$24.57 	19.17
341	Taxi	31.46	$24.05 	54.24
342	Taxi	27.0	$20.47 	46.56
343	Taxi	16.76	$25.52 	28.91
344	Taxi	15.11	$24.33 	26.05
345	Taxi	13.91	$16.94 	23.98
346	Taxi	30.15	$25.34 	51.98
347	Taxi	19.49	$26.66 	33.62
348	Taxi	15.58	$18.36 	26.87
349	Taxi	9.81	$37.45 	16.92
350	Taxi	27.29	$24.17 	47.05
351	Taxi	23.32	$25.72 	40.2
352	Taxi	12.67	$26.71 	21.86
353	Taxi	14.79	$28.86 	25.5
354	Taxi	12.33	$24.29 	21.26
355	Taxi	11.06	$29.71 	19.07
356	Taxi	16.9	$22.70 	29.13
357	Taxi	13.63	$26.10 	23.51
358	Taxi	15.16	$21.40 	26.15
359	Taxi	14.16	$16.37 	24.42
360	Taxi	6.13	$14.39 	10.58
361	Taxi	22.76	$28.30 	39.25
362	Taxi	18.32	$14.25 	31.58
363	Taxi	16.57	$21.71 	28.57
364	Taxi	15.93	$30.09 	27.46
365	Taxi	20.21	$20.60 	34.84
366	Taxi	25.17	$36.82 	43.39
367	Taxi	10.14	$36.16 	17.48
368	Taxi	20.13	$27.45 	34.7
369	Taxi	18.64	$9.34 	32.14
370	Taxi	21.22	$26.45 	36.59
371	Taxi	11.3	$21.06 	19.48
372	Taxi	16.27	$30.04 	28.05
373	Taxi	12.11	$21.90 	20.88
374	Taxi	18.62	$37.85 	32.1
375	Taxi	13.27	$19.78 	22.88
376	Taxi	15.81	$26.62 	27.26
377	Taxi	12.64	$12.45 	21.8
378	Taxi	18.41	$18.82 	31.75
379	Taxi	7.66	$23.29 	13.21
380	Taxi	13.45	$28.78 	23.2
381	Taxi	21.23	$15.67 	36.61
382	Taxi	11.6	$20.19 	20.0
383	Taxi	23.74	$10.41 	40.93
384	Taxi	33.94	$15.97 	58.53
385	Taxi	6.22	$19.45 	10.73
386	Taxi	13.38	$18.19 	23.08
387	Taxi	12.7	$18.09 	21.9
388	Taxi	13.12	$19.47 	22.62
389	Taxi	19.5	$23.18 	33.62
390	Taxi	20.03	$20.61 	34.53
391	Taxi	24.83	$13.76 	42.81
392	Taxi	14.21	$22.17 	24.51
393	Taxi	2.74	$30.60 	4.73
394	Taxi	9.98	$21.29 	17.21
395	Taxi	13.12	$27.98 	22.62
396	Taxi	14.76	$31.26 	25.44
397	Taxi	6.2	$20.55 	10.7
398	Taxi	34.31	$13.69 	59.16
399	Taxi	22.86	$19.12 	39.42
400	Taxi	2.47	$22.75 	4.27
401	Taxi	17.5	$14.58 	30.18
402	Taxi	16.39	$18.39 	28.26
403	Taxi	18.23	$20.55 	31.43
404	Taxi	18.68	$17.18 	32.21
405	Taxi	18.26	$20.54 	31.49
406	Taxi	11.42	$10.43 	19.7
407	Taxi	11.82	$18.93 	20.38
408	Taxi	17.43	$20.31 	30.06
409	Taxi	25.15	$19.91 	43.36
410	Taxi	8.79	$10.47 	15.17
411	Taxi	11.46	$25.58 	19.76
412	Taxi	3.24	$26.84 	5.59
413	Taxi	13.14	$27.23 	22.66
414	Taxi	12.9	$29.87 	22.25
415	Taxi	11.01	$19.99 	18.98
416	Taxi	8.29	$21.27 	14.3
417	Taxi	19.96	$27.29 	34.43
418	Taxi	20.66	$15.49 	35.63
419	Taxi	4.15	$36.81 	7.17
420	Taxi	10.23	$27.43 	17.63
421	Taxi	12.96	$27.38 	22.35
422	Taxi	22.78	$18.72 	39.28
423	Taxi	9.54	$30.54 	16.45
424	Taxi	18.63	$26.89 	32.12
425	Taxi	21.28	$18.44 	36.7
426	Taxi	14.56	$26.55 	25.11
427	Taxi	17.66	$28.82 	30.46
428	Taxi	14.22	$33.37 	24.53
429	Taxi	10.93	$35.58 	18.85
430	Taxi	18.36	$19.70 	31.66
431	Taxi	8.57	$28.30 	14.78
432	Taxi	18.3	$15.48 	31.55
433	Taxi	15.66	$14.99 	27.01
434	Taxi	21.77	$19.64 	37.54
435	Taxi	16.74	$21.43 	28.87
436	Taxi	23.54	$29.12 	40.59
437	Taxi	18.24	$21.39 	31.46
438	Taxi	22.96	$28.05 	39.59
439	Taxi	24.52	$34.40 	42.29
440	Taxi	27.04	$15.17 	46.63
441	Taxi	15.76	$24.08 	27.18
442	Taxi	25.29	$24.07 	43.61
443	Taxi	16.33	$25.99 	28.15
444	Taxi	15.6	$30.38 	26.9
445	Taxi	15.15	$28.04 	26.13
446	Taxi	15.59	$27.76 	26.88
447	Taxi	5.74	$18.24 	9.9
448	Taxi	9.9	$21.04 	17.07
449	Taxi	21.91	$28.39 	37.78
450	Taxi	18.48	$26.82 	31.87
451	Taxi	10.56	$11.67 	18.22
452	Taxi	34.08	$13.64 	58.76
453	Taxi	9.09	$25.88 	15.68
454	Taxi	23.31	$29.95 	40.19
455	Taxi	25.11	$34.80 	43.29
456	Taxi	14.3	$28.04 	24.66
457	Taxi	19.97	$33.33 	34.43
458	Taxi	17.31	$23.54 	29.85
459	Taxi	18.13	$31.33 	31.27
460	Taxi	19.35	$16.62 	33.36
461	Taxi	7.41	$12.85 	12.78
462	Taxi	11.65	$21.06 	20.09
463	Taxi	25.6	$30.97 	44.15
464	Taxi	14.86	$24.53 	25.63
465	Taxi	12.27	$12.57 	21.15
466	Taxi	26.55	$10.13 	45.78
467	Taxi	24.18	$21.75 	41.7
468	Taxi	16.22	$24.01 	27.97
469	Taxi	16.07	$16.43 	27.7
470	Taxi	24.66	$22.88 	42.52
471	Taxi	18.33	$20.87 	31.61
472	Taxi	16.16	$20.70 	27.87
473	Taxi	15.81	$24.16 	27.26
474	Taxi	17.24	$12.23 	29.73
475	Taxi	21.7	$24.00 	37.41
476	Taxi	11.93	$16.02 	20.58
477	Taxi	26.43	$23.68 	45.58
478	Taxi	14.43	$20.13 	24.88
479	Taxi	15.43	$13.79 	26.61
480	Taxi	19.28	$12.15 	33.24
481	Taxi	15.01	$16.13 	25.88
482	Taxi	24.6	$17.15 	42.42
483	Taxi	11.13	$30.14 	19.19
484	Taxi	24.2	$20.10 	41.73
485	Taxi	11.72	$16.32 	20.22
486	Taxi	26.04	$32.21 	44.91
487	Taxi	22.3	$26.19 	38.46
488	Taxi	17.46	$27.38 	30.1
489	Taxi	22.58	$21.81 	38.94
490	Taxi	9.79	$43.56 	16.89
491	Taxi	14.56	$23.36 	25.1
492	Taxi	24.94	$26.28 	43.0
493	Taxi	17.59	$20.19 	30.33
494	Taxi	19.69	$26.70 	33.94
495	Taxi	23.32	$26.91 	40.21
496	Taxi	16.36	$30.38 	28.21
497	Taxi	19.37	$28.53 	33.4
498	Taxi	20.68	$23.92 	35.66
499	Taxi	10.74	$26.12 	18.52
500	Taxi	17.63	$30.72 	30.4
501	Taxi	11.15	$23.46 	19.22
502	Taxi	15.1	$26.42 	26.04
503	Taxi	30.93	$18.00 	53.33
504	Taxi	7.98	$21.32 	13.76
505	Taxi	15.5	$16.61 	26.72
506	Taxi	20.29	$28.15 	34.99
507	Taxi	10.57	$30.62 	18.22
508	Taxi	6.94	$14.19 	11.96
509	Taxi	0.04	$11.96 	0.07
510	Taxi	23.74	$25.76 	40.94
511	Taxi	11.91	$8.65 	20.54
512	Taxi	22.01	$11.91 	37.94
513	Taxi	8.62	$12.83 	14.87
514	Taxi	11.14	$14.62 	19.21
515	Taxi	15.79	$15.47 	27.24
516	Taxi	14.76	$16.96 	25.46
517	Taxi	17.33	$14.99 	29.88
518	Taxi	15.8	$22.24 	27.25
519	Taxi	8.84	$31.09 	15.24
520	Taxi	14.64	$29.89 	25.24
521	Taxi	6.94	$22.37 	11.97
522	Taxi	24.25	$12.89 	41.82
523	Taxi	23.95	$17.53 	41.3
524	Taxi	11.16	$23.84 	19.24
525	Taxi	13.0	$19.98 	22.42
526	Taxi	7.47	$17.10 	12.88
527	Taxi	16.72	$15.57 	28.84
528	Taxi	14.74	$26.24 	25.42
529	Taxi	16.22	$24.26 	27.97
530	Taxi	12.77	$27.27 	22.01
531	Taxi	2.8	$29.05 	4.84
532	Taxi	13.1	$17.93 	22.59
533	Taxi	13.85	$21.52 	23.89
534	Taxi	10.2	$17.12 	17.58
535	Taxi	19.42	$25.89 	33.48
536	Taxi	19.02	$29.52 	32.79
537	Taxi	22.59	$32.02 	38.96
538	Taxi	27.91	$20.00 	48.13
539	Taxi	9.56	$17.44 	16.49
540	Taxi	20.55	$19.62 	35.43
541	Taxi	19.61	$4.30 	33.82
542	Taxi	16.63	$28.67 	28.68
543	Taxi	12.13	$28.88 	20.92
544	Taxi	15.28	$25.27 	26.36
545	Taxi	25.89	$32.04 	44.64
546	Taxi	13.83	$34.72 	23.85
547	Taxi	15.41	$17.91 	26.57
548	Taxi	16.7	$24.35 	28.8
549	Taxi	24.73	$20.97 	42.63
550	Taxi	19.27	$10.40 	33.23
551	Taxi	20.79	$21.24 	35.85
552	Taxi	17.31	$26.67 	29.84
553	Taxi	13.8	$19.75 	23.8
554	Taxi	13.99	$25.09 	24.13
555	Taxi	13.73	$26.26 	23.67
556	Taxi	14.88	$27.80 	25.66
557	Taxi	16.61	$25.24 	28.65
558	Taxi	17.29	$20.50 	29.82
559	Taxi	23.07	$30.22 	39.78
560	Taxi	17.52	$29.31 	30.21
561	Taxi	21.31	$20.92 	36.75
562	Taxi	17.93	$37.02 	30.92
563	Taxi	15.62	$35.45 	26.93
564	Taxi	11.16	$16.33 	19.25
565	Taxi	14.76	$13.62 	25.46
566	Taxi	16.59	$30.52 	28.61
567	Taxi	22.53	$19.86 	38.85
568	Taxi	23.3	$24.85 	40.18
569	Taxi	18.64	$20.45 	32.14
570	Taxi	13.99	$25.37 	24.12
571	Taxi	18.48	$40.38 	31.86
572	Taxi	10.48	$25.92 	18.08
573	Taxi	10.94	$30.07 	18.86
574	Taxi	15.8	$19.39 	27.25
575	Taxi	25.98	$30.91 	44.8
576	Taxi	24.5	$26.72 	42.25
577	Taxi	6.44	$13.04 	11.1
578	Taxi	26.46	$19.31 	45.62
579	Taxi	18.75	$30.98 	32.33
580	Taxi	15.05	$16.66 	25.96
581	Taxi	13.47	$34.32 	23.23
582	Taxi	16.68	$19.87 	28.77
583	Taxi	23.16	$16.88 	39.94
584	Taxi	27.66	$16.54 	47.69
585	Taxi	20.12	$32.10 	34.7
586	Taxi	8.7	$20.01 	15.0
587	Taxi	13.22	$16.96 	22.79
588	Taxi	16.01	$20.39 	27.6
589	Taxi	18.69	$23.28 	32.24
590	Taxi	18.53	$20.99 	31.96
591	Taxi	14.87	$23.57 	25.65
592	Taxi	25.08	$24.70 	43.24
593	Taxi	16.6	$17.17 	28.63
594	Taxi	19.54	$13.14 	33.69
595	Taxi	15.22	$34.57 	26.24
596	Taxi	18.55	$22.13 	31.99
597	Taxi	19.12	$23.50 	32.96
598	Taxi	17.94	$24.22 	30.94
599	Taxi	17.81	$16.21 	30.71
600	Taxi	8.46	$22.22 	14.59
601	Taxi	22.52	$22.53 	38.83
602	Taxi	25.28	$19.90 	43.59
603	Taxi	16.08	$13.78 	27.73
604	Taxi	13.03	$11.66 	22.46
605	Taxi	13.29	$14.51 	22.92
606	Taxi	12.69	$21.73 	21.88
607	Taxi	15.39	$33.82 	26.54
608	Taxi	19.66	$24.01 	33.9
609	Taxi	17.75	$27.88 	30.61
610	Taxi	3.76	$23.02 	6.49
611	Taxi	18.15	$15.63 	31.3
612	Taxi	19.87	$22.29 	34.27
613	Taxi	12.59	$34.59 	21.71
614	Taxi	9.15	$10.73 	15.77
615	Taxi	20.05	$19.38 	34.58
616	Taxi	21.86	$13.89 	37.69
617	Taxi	30.5	$27.79 	52.59
618	Taxi	24.49	$26.67 	42.23
619	Taxi	11.54	$32.43 	19.9
620	Taxi	18.97	$18.59 	32.71
621	Taxi	12.99	$19.14 	22.41
622	Taxi	23.62	$37.95 	40.73
623	Taxi	28.78	$21.18 	49.62
624	Taxi	22.47	$23.77 	38.74
625	Taxi	14.22	$17.72 	24.52
626	Taxi	8.85	$13.14 	15.26
627	Taxi	10.78	$27.97 	18.59
628	Taxi	18.83	$29.65 	32.47
629	Taxi	17.36	$13.95 	29.93
630	Taxi	15.64	$22.72 	26.97
631	Taxi	21.69	$37.65 	37.39
632	Taxi	17.9	$29.80 	30.87
633	Taxi	22.86	$32.85 	39.42
634	Taxi	24.38	$20.83 	42.05
635	Taxi	10.23	$31.98 	17.65
636	Taxi	23.17	$31.87 	39.95
637	Taxi	23.42	$18.41 	40.39
638	Taxi	13.49	$23.86 	23.26
639	Taxi	29.89	$14.94 	51.54
640	Taxi	22.49	$14.37 	38.79
641	Taxi	14.67	$20.56 	25.3
642	Taxi	12.97	$34.38 	22.37
643	Taxi	22.12	$25.28 	38.15
644	Taxi	21.2	$17.77 	36.55
645	Taxi	32.33	$16.29 	55.74
646	Taxi	16.2	$26.63 	27.93
647	Taxi	11.77	$18.42 	20.29
648	Taxi	16.6	$13.95 	28.63
649	Taxi	20.2	$20.05 	34.83
650	Taxi	6.68	$20.62 	11.52
651	Taxi	19.38	$28.86 	33.41
652	Taxi	9.17	$21.83 	15.82
653	Taxi	13.9	$23.88 	23.97
654	Taxi	11.78	$6.48 	20.31
655	Taxi	26.55	$24.37 	45.77
656	Taxi	14.93	$16.45 	25.74
657	Taxi	13.38	$25.28 	23.07
658	Taxi	11.57	$20.51 	19.95
659	Taxi	15.84	$25.93 	27.32
660	Taxi	23.59	$33.59 	40.68
661	Taxi	10.19	$29.81 	17.57
