	Vendor	Trip Distance (in Miles)	Trip Cost	Trip Time (in Minutes)
52	Taxi	12.73	$42.17 	21.95
53	Taxi	15.48	$66.95 	26.7
54	Taxi	14.75	$62.34 	25.44
55	Taxi	5.81	$63.13 	10.02
56	Taxi	12.4	$49.41 	21.38
57	Taxi	16.39	$17.56 	28.26
58	Taxi	16.56	$35.80 	28.55
59	Taxi	8.1	$34.01 	13.97
60	Taxi	14.37	$59.18 	24.78
61	Taxi	18.09	$35.12 	31.19
62	Taxi	13.11	$51.25 	22.61
63	Taxi	15.14	$42.71 	26.11
64	Taxi	14.0	$35.52 	24.13
65	Taxi	16.25	$11.82 	28.02
66	Taxi	14.59	$71.94 	25.16
67	Taxi	16.57	$42.95 	28.57
68	Taxi	16.8	$30.00 	28.98
69	Taxi	12.97	$45.68 	22.37
70	Taxi	10.22	$26.75 	17.63
71	Taxi	19.61	$51.50 	33.82
72	Taxi	13.83	$35.29 	23.84
73	Taxi	18.35	$46.01 	31.65
74	Taxi	15.93	$52.23 	27.48
75	Taxi	13.79	$50.94 	23.79
76	Taxi	22.06	$40.79 	38.03
77	Taxi	12.31	$41.12 	21.22
78	Taxi	12.05	$55.22 	20.79
79	Taxi	12.91	$46.37 	22.26
80	Taxi	13.79	$48.83 	23.77
81	Taxi	15.62	$37.21 	26.94
82	Taxi	17.78	$30.60 	30.66
83	Taxi	14.25	$65.80 	24.56
84	Taxi	18.47	$41.78 	31.85
85	Taxi	11.46	$63.67 	19.76
86	Taxi	5.47	$66.33 	9.44
87	Taxi	16.34	$39.79 	28.17
88	Taxi	13.78	$43.27 	23.76
89	Taxi	17.21	$65.86 	29.67
90	Taxi	13.07	$13.19 	22.54
91	Taxi	9.25	$49.25 	15.96
92	Taxi	14.95	$55.82 	25.79
93	Taxi	19.29	$60.88 	33.26
94	Taxi	13.2	$28.08 	22.77
95	Taxi	13.26	$34.74 	22.86
96	Taxi	14.23	$67.34 	24.54
97	Taxi	12.42	$40.68 	21.42
98	Taxi	16.99	$36.92 	29.3
99	Taxi	20.1	$42.01 	34.66
100	Taxi	12.27	$49.61 	21.16
101	Taxi	10.62	$55.92 	18.31
102	Taxi	15.36	$62.44 	26.48
103	Taxi	15.86	$24.30 	27.35
104	Taxi	17.63	$48.32 	30.39
105	Taxi	11.63	$56.27 	20.05
106	Taxi	13.85	$55.07 	23.87
107	Taxi	11.74	$40.09 	20.24
108	Taxi	14.23	$55.53 	24.54
109	Taxi	11.34	$46.55 	19.56
110	Taxi	15.9	$33.02 	27.41
111	Taxi	15.15	$46.57 	26.13
112	Taxi	12.08	$39.59 	20.82
113	Taxi	12.79	$45.19 	22.05
114	Taxi	19.43	$67.91 	33.5
115	Taxi	12.59	$56.76 	21.71
116	Taxi	12.21	$29.36 	21.06
117	Taxi	9.72	$32.14 	16.77
118	Taxi	16.86	$42.74 	29.07
119	Taxi	20.0	$55.57 	34.49
120	Taxi	14.52	$58.60 	25.04
121	Taxi	13.66	$57.47 	23.55
122	Taxi	14.64	$31.52 	25.24
123	Taxi	14.85	$42.22 	25.61
124	Taxi	16.06	$25.55 	27.69
125	Taxi	20.9	$35.57 	36.04
126	Taxi	17.07	$34.50 	29.44
127	Taxi	16.13	$49.80 	27.82
128	Taxi	10.35	$24.12 	17.85
129	Taxi	15.32	$44.30 	26.42
130	Taxi	14.89	$45.26 	25.68
131	Taxi	10.97	$55.32 	18.92
132	Taxi	14.24	$10.11 	24.56
133	Taxi	15.84	$35.33 	27.32
134	Taxi	13.89	$58.08 	23.95
135	Taxi	14.71	$33.01 	25.37
136	Taxi	15.98	$58.51 	27.55
137	Taxi	15.61	$42.33 	26.92
138	Taxi	17.95	$48.59 	30.95
139	Taxi	18.48	$42.55 	31.87
140	Taxi	14.87	$61.40 	25.64
141	Taxi	14.04	$44.31 	24.21
142	Taxi	10.61	$33.26 	18.29
143	Taxi	15.35	$60.89 	26.46
144	Taxi	11.79	$34.30 	20.34
145	Taxi	16.37	$39.54 	28.22
146	Taxi	9.48	$51.17 	16.36
147	Taxi	18.52	$53.00 	31.94
148	Taxi	19.66	$31.37 	33.9
149	Taxi	18.45	$61.52 	31.81
150	Taxi	15.03	$55.07 	25.92
151	Taxi	18.64	$63.25 	32.15
152	Taxi	15.25	$59.65 	26.3
153	Taxi	11.43	$46.42 	19.71
154	Taxi	17.71	$44.60 	30.53
155	Taxi	13.2	$45.80 	22.76
156	Taxi	13.94	$49.21 	24.03
157	Taxi	12.88	$42.18 	22.2
158	Taxi	17.55	$22.50 	30.26
159	Taxi	14.9	$46.83 	25.69
160	Taxi	15.93	$35.95 	27.48
161	Taxi	16.42	$42.00 	28.31
162	Taxi	10.36	$52.07 	17.86
163	Taxi	11.16	$56.41 	19.24
164	Taxi	15.71	$30.37 	27.08
165	Taxi	13.78	$42.14 	23.77
166	Taxi	12.78	$33.27 	22.03
167	Taxi	16.08	$42.91 	27.73
168	Taxi	10.45	$53.20 	18.03
169	Taxi	18.74	$39.44 	32.31
170	Taxi	12.79	$49.02 	22.06
171	Taxi	15.78	$45.66 	27.21
172	Taxi	11.61	$45.95 	20.02
173	Taxi	19.96	$44.28 	34.41
174	Taxi	14.52	$39.51 	25.04
175	Taxi	17.45	$37.81 	30.08
176	Taxi	14.01	$45.64 	24.16
177	Taxi	13.16	$47.82 	22.69
178	Taxi	15.38	$41.23 	26.53
179	Taxi	13.04	$55.75 	22.48
180	Taxi	7.67	$57.94 	13.22
181	Taxi	16.69	$33.47 	28.79
182	Taxi	10.79	$32.42 	18.6
183	Taxi	15.95	$55.33 	27.51
184	Taxi	14.28	$61.43 	24.63
185	Taxi	15.41	$42.63 	26.58
186	Taxi	12.2	$29.82 	21.03
187	Taxi	14.24	$31.96 	24.55
188	Taxi	16.64	$62.34 	28.7
189	Taxi	15.41	$32.76 	26.57
190	Taxi	13.0	$50.79 	22.42
191	Taxi	16.69	$41.50 	28.78
192	Taxi	15.48	$51.74 	26.69
193	Taxi	10.77	$45.40 	18.57
194	Taxi	15.56	$54.53 	26.83
195	Taxi	15.43	$40.30 	26.6
196	Taxi	17.12	$39.80 	29.52
197	Taxi	15.03	$37.86 	25.92
198	Taxi	12.68	$51.18 	21.87
199	Taxi	9.8	$27.57 	16.89
200	Taxi	15.66	$55.99 	27.0
201	Taxi	15.75	$20.13 	27.16
202	Taxi	17.42	$39.55 	30.05
203	Taxi	15.89	$42.96 	27.41
204	Taxi	17.92	$47.75 	30.89
205	Taxi	13.05	$45.55 	22.5
206	Taxi	12.32	$26.70 	21.24
207	Taxi	14.75	$49.88 	25.44
208	Taxi	13.04	$47.01 	22.49
209	Taxi	14.54	$33.24 	25.07
210	Taxi	17.7	$39.71 	30.52
211	Taxi	14.96	$62.94 	25.79
212	Taxi	13.07	$35.73 	22.53
213	Taxi	15.45	$54.98 	26.65
214	Taxi	17.23	$45.86 	29.72
215	Taxi	14.71	$37.81 	25.36
216	Taxi	11.32	$37.12 	19.53
217	Taxi	16.02	$41.31 	27.62
218	Taxi	13.6	$48.00 	23.45
219	Taxi	11.66	$56.17 	20.11
220	Taxi	16.72	$51.50 	28.82
221	Taxi	10.85	$42.29 	18.71
222	Taxi	16.66	$36.94 	28.73
223	Taxi	18.39	$37.67 	31.71
224	Taxi	18.43	$35.72 	31.78
225	Taxi	14.02	$67.35 	24.18
226	Taxi	16.42	$46.64 	28.32
227	Taxi	6.64	$30.08 	11.46
228	Taxi	16.96	$45.62 	29.24
229	Taxi	13.42	$36.48 	23.14
230	Taxi	11.22	$52.72 	19.35
231	Taxi	10.87	$48.01 	18.75
232	Taxi	14.18	$72.92 	24.44
233	Taxi	14.23	$31.96 	24.53
234	Taxi	16.86	$14.80 	29.07
235	Taxi	12.31	$47.69 	21.24
236	Taxi	18.93	$65.80 	32.65
237	Taxi	16.45	$50.07 	28.36
238	Taxi	10.68	$44.99 	18.42
239	Taxi	15.36	$47.68 	26.49
240	Taxi	12.99	$37.80 	22.39
241	Taxi	15.33	$28.54 	26.44
242	Taxi	13.0	$16.11 	22.42
243	Taxi	16.23	$45.36 	27.99
244	Taxi	14.45	$41.39 	24.91
245	Taxi	16.3	$55.36 	28.11
246	Taxi	16.69	$32.03 	28.79
247	Taxi	12.33	$37.05 	21.25
248	Taxi	10.45	$43.38 	18.03
249	Taxi	16.05	$73.14 	27.67
250	Taxi	12.12	$34.14 	20.91
251	Taxi	9.28	$25.70 	16.0
252	Taxi	17.14	$34.02 	29.55
253	Taxi	10.02	$31.60 	17.29
254	Taxi	13.71	$62.79 	23.65
255	Taxi	16.01	$42.59 	27.61
256	Taxi	17.33	$58.64 	29.88
257	Taxi	11.5	$73.56 	19.83
258	Taxi	12.97	$43.49 	22.36
259	Taxi	15.38	$40.46 	26.52
260	Taxi	13.12	$35.66 	22.62
261	Taxi	5.64	$52.75 	9.73
262	Taxi	18.58	$21.79 	32.04
263	Taxi	15.58	$36.80 	26.87
264	Taxi	17.2	$31.79 	29.66
265	Taxi	13.71	$32.75 	23.65
266	Taxi	18.49	$48.19 	31.89
267	Taxi	13.76	$39.58 	23.72
268	Taxi	8.0	$51.56 	13.8
269	Taxi	14.9	$41.11 	25.69
270	Taxi	13.51	$49.28 	23.3
271	Taxi	10.57	$49.97 	18.23
272	Taxi	13.71	$52.95 	23.64
273	Taxi	19.2	$49.59 	33.1
274	Taxi	13.97	$65.86 	24.09
275	Taxi	18.96	$28.53 	32.69
276	Taxi	13.8	$47.53 	23.79
277	Taxi	15.2	$39.26 	26.21
278	Taxi	14.67	$52.96 	25.29
279	Taxi	10.19	$42.96 	17.56
280	Taxi	10.48	$47.98 	18.07
281	Taxi	16.36	$36.75 	28.2
282	Taxi	14.83	$48.54 	25.56
283	Taxi	9.7	$38.25 	16.73
284	Taxi	17.67	$35.71 	30.46
285	Taxi	14.69	$43.17 	25.32
286	Taxi	13.13	$60.27 	22.64
287	Taxi	9.47	$46.18 	16.34
288	Taxi	14.8	$58.34 	25.52
289	Taxi	16.13	$47.58 	27.82
290	Taxi	20.98	$31.23 	36.17
291	Taxi	13.12	$37.24 	22.62
292	Taxi	16.6	$35.56 	28.63
293	Taxi	13.14	$60.36 	22.66
294	Taxi	13.95	$20.63 	24.06
295	Taxi	10.49	$28.49 	18.08
296	Taxi	10.81	$45.15 	18.63
297	Taxi	12.37	$74.99 	21.33
298	Taxi	19.69	$50.32 	33.96
299	Taxi	16.23	$45.43 	27.98
300	Taxi	23.66	$41.30 	40.8
301	Taxi	15.9	$48.45 	27.43
302	Taxi	11.73	$42.54 	20.22
303	Taxi	15.93	$47.29 	27.46
304	Taxi	18.4	$62.31 	31.73
305	Taxi	13.31	$47.83 	22.95
306	Taxi	10.17	$40.79 	17.53
307	Taxi	16.0	$18.38 	27.6
308	Taxi	12.16	$12.39 	20.97
309	Taxi	11.08	$33.19 	19.1
310	Taxi	14.46	$54.17 	24.93
311	Taxi	20.67	$49.87 	35.63
312	Taxi	17.58	$48.65 	30.31
313	Taxi	15.01	$32.16 	25.89
314	Taxi	19.5	$36.29 	33.63
315	Taxi	15.2	$50.40 	26.21
316	Taxi	15.29	$38.34 	26.37
317	Taxi	19.12	$43.81 	32.97
318	Taxi	16.47	$36.82 	28.4
319	Taxi	16.68	$14.99 	28.77
320	Taxi	13.33	$50.79 	22.98
321	Taxi	16.26	$70.34 	28.03
322	Taxi	14.99	$40.94 	25.84
323	Taxi	13.71	$26.89 	23.64
324	Taxi	14.96	$52.66 	25.79
325	Taxi	18.69	$32.50 	32.23
326	Taxi	6.14	$31.38 	10.59
327	Taxi	14.59	$32.08 	25.15
328	Taxi	10.19	$47.75 	17.57
329	Taxi	11.09	$53.84 	19.12
330	Taxi	17.03	$49.91 	29.37
331	Taxi	17.04	$43.81 	29.39
332	Taxi	19.24	$63.03 	33.17
333	Taxi	10.78	$24.01 	18.6
334	Taxi	16.83	$42.20 	29.02
335	Taxi	19.05	$79.64 	32.84
336	Taxi	16.1	$30.57 	27.75
337	Taxi	16.29	$47.97 	28.09
338	Taxi	13.01	$66.71 	22.44
339	Taxi	14.19	$37.82 	24.46
340	Taxi	13.6	$48.52 	23.46
341	Taxi	16.23	$43.69 	27.99
342	Taxi	9.37	$47.97 	16.16
343	Taxi	17.25	$50.86 	29.75
344	Taxi	18.01	$58.88 	31.05
345	Taxi	15.21	$51.55 	26.23
346	Taxi	12.98	$60.55 	22.39
347	Taxi	17.79	$27.19 	30.67
348	Taxi	15.75	$26.81 	27.15
349	Taxi	8.43	$60.26 	14.54
350	Taxi	13.85	$45.78 	23.88
351	Taxi	16.33	$36.36 	28.16
352	Taxi	13.71	$61.90 	23.65
353	Taxi	14.92	$43.37 	25.72
354	Taxi	15.31	$43.27 	26.4
355	Taxi	10.94	$44.79 	18.87
356	Taxi	13.78	$58.85 	23.77
357	Taxi	14.85	$57.92 	25.61
358	Taxi	20.51	$46.61 	35.36
359	Taxi	14.86	$46.75 	25.63
360	Taxi	15.56	$28.97 	26.84
361	Taxi	14.6	$33.45 	25.18
362	Taxi	14.82	$11.11 	25.56
363	Taxi	13.98	$50.89 	24.11
364	Taxi	16.71	$41.37 	28.81
365	Taxi	18.76	$26.86 	32.34
366	Taxi	14.35	$30.87 	24.75
367	Taxi	19.79	$34.70 	34.12
368	Taxi	14.68	$46.41 	25.32
369	Taxi	16.43	$56.14 	28.34
370	Taxi	15.83	$41.09 	27.29
371	Taxi	17.18	$57.64 	29.62
372	Taxi	19.23	$40.22 	33.15
373	Taxi	10.02	$40.87 	17.28
374	Taxi	17.16	$28.58 	29.59
375	Taxi	14.27	$56.14 	24.61
376	Taxi	17.76	$52.52 	30.62
377	Taxi	16.11	$42.46 	27.78
378	Taxi	16.05	$33.36 	27.67
379	Taxi	14.73	$47.31 	25.4
380	Taxi	12.66	$53.59 	21.83
381	Taxi	13.93	$49.96 	24.02
382	Taxi	9.21	$59.31 	15.88
383	Taxi	13.7	$68.31 	23.62
384	Taxi	15.58	$42.30 	26.86
385	Taxi	17.25	$35.96 	29.75
386	Taxi	10.95	$52.10 	18.88
387	Taxi	15.11	$27.09 	26.06
388	Taxi	11.8	$50.45 	20.35
389	Taxi	11.6	$39.42 	20.0
390	Taxi	19.18	$22.29 	33.08
391	Taxi	13.03	$49.31 	22.47
392	Taxi	11.44	$38.56 	19.73
393	Taxi	14.69	$54.20 	25.34
394	Taxi	13.6	$77.99 	23.46
395	Taxi	17.51	$16.85 	30.19
396	Taxi	14.7	$40.16 	25.34
397	Taxi	15.92	$43.92 	27.44
398	Taxi	13.43	$57.90 	23.15
399	Taxi	8.93	$19.36 	15.39
400	Taxi	14.95	$49.25 	25.79
401	Taxi	17.99	$47.43 	31.02
402	Taxi	13.24	$49.46 	22.83
403	Taxi	19.23	$40.81 	33.15
404	Taxi	13.41	$35.64 	23.13
405	Taxi	16.97	$79.82 	29.27
406	Taxi	17.3	$54.34 	29.83
407	Taxi	14.57	$54.11 	25.12
408	Taxi	16.34	$40.33 	28.17
409	Taxi	13.7	$42.36 	23.63
410	Taxi	17.34	$38.25 	29.9
411	Taxi	14.24	$43.28 	24.55
412	Taxi	17.92	$51.44 	30.9
413	Taxi	13.8	$73.10 	23.8
414	Taxi	16.05	$46.29 	27.67
415	Taxi	16.2	$40.90 	27.93
416	Taxi	16.35	$55.52 	28.2
417	Taxi	13.91	$42.14 	23.98
418	Taxi	19.29	$62.47 	33.27
419	Taxi	16.52	$32.08 	28.48
420	Taxi	15.57	$48.46 	26.85
421	Taxi	19.21	$42.72 	33.13
422	Taxi	16.75	$59.91 	28.88
423	Taxi	16.97	$38.85 	29.26
424	Taxi	13.55	$45.79 	23.37
425	Taxi	16.97	$69.51 	29.27
426	Taxi	16.55	$34.36 	28.55
427	Taxi	20.78	$59.64 	35.83
428	Taxi	11.87	$35.91 	20.48
429	Taxi	20.35	$63.36 	35.09
430	Taxi	12.21	$53.79 	21.05
431	Taxi	12.82	$79.82 	22.1
432	Taxi	15.06	$39.99 	25.98
433	Taxi	16.2	$37.17 	27.94
434	Taxi	11.51	$33.60 	19.84
435	Taxi	16.69	$33.86 	28.78
436	Taxi	13.01	$22.69 	22.43
437	Taxi	15.51	$67.87 	26.74
438	Taxi	14.46	$44.10 	24.94
439	Taxi	20.28	$32.78 	34.97
440	Taxi	18.83	$38.03 	32.46
441	Taxi	14.34	$65.30 	24.74
442	Taxi	18.16	$47.23 	31.32
443	Taxi	11.86	$20.24 	20.45
444	Taxi	11.16	$38.26 	19.24
445	Taxi	16.93	$46.85 	29.2
446	Taxi	15.57	$55.77 	26.84
447	Taxi	14.74	$49.10 	25.42
448	Taxi	14.59	$52.50 	25.15
449	Taxi	10.96	$48.91 	18.9
450	Taxi	11.5	$30.60 	19.83
451	Taxi	20.26	$31.81 	34.94
452	Taxi	11.44	$48.57 	19.72
453	Taxi	14.26	$48.17 	24.58
454	Taxi	18.41	$48.03 	31.75
455	Taxi	14.27	$46.85 	24.61
456	Taxi	15.35	$41.17 	26.46
457	Taxi	17.28	$56.39 	29.8
458	Taxi	13.6	$14.53 	23.45
459	Taxi	19.13	$42.40 	32.99
460	Taxi	19.87	$38.32 	34.26
461	Taxi	16.93	$37.76 	29.2
462	Taxi	13.83	$38.60 	23.85
463	Taxi	17.09	$63.78 	29.46
464	Taxi	12.92	$46.91 	22.29
465	Taxi	16.63	$57.44 	28.68
466	Taxi	18.03	$28.25 	31.09
467	Taxi	14.2	$47.93 	24.49
468	Taxi	16.3	$50.99 	28.1
469	Taxi	14.92	$59.86 	25.74
470	Taxi	15.96	$44.06 	27.52
471	Taxi	21.7	$31.61 	37.41
472	Taxi	10.39	$54.67 	17.91
473	Taxi	14.42	$49.43 	24.87
474	Taxi	13.97	$52.11 	24.09
475	Taxi	17.93	$53.02 	30.91
476	Taxi	15.1	$45.50 	26.05
477	Taxi	18.67	$40.69 	32.2
478	Taxi	16.03	$57.15 	27.65
479	Taxi	11.72	$59.87 	20.2
480	Taxi	10.98	$39.30 	18.94
481	Taxi	14.42	$54.08 	24.87
482	Taxi	15.94	$39.96 	27.48
483	Taxi	16.28	$35.51 	28.07
484	Taxi	18.58	$63.95 	32.04
485	Taxi	13.49	$35.80 	23.26
486	Taxi	19.39	$35.40 	33.43
487	Taxi	15.64	$62.31 	26.98
488	Taxi	15.08	$50.90 	26.01
489	Taxi	16.37	$33.22 	28.22
490	Taxi	18.13	$31.50 	31.27
491	Taxi	12.32	$35.16 	21.24
492	Taxi	21.85	$60.13 	37.67
493	Taxi	17.8	$56.26 	30.69
494	Taxi	15.51	$56.88 	26.75
495	Taxi	16.85	$51.78 	29.05
496	Taxi	12.6	$50.71 	21.72
497	Taxi	10.15	$66.99 	17.51
498	Taxi	11.18	$63.89 	19.28
499	Taxi	17.39	$49.64 	29.99
500	Taxi	16.66	$48.63 	28.73
501	Taxi	18.81	$63.22 	32.43
502	Taxi	15.31	$39.23 	26.4
503	Taxi	13.48	$51.28 	23.25
504	Taxi	20.05	$55.33 	34.58
505	Taxi	13.15	$38.00 	22.68
506	Taxi	11.44	$52.12 	19.72
507	Taxi	15.53	$63.99 	26.79
508	Taxi	6.89	$43.08 	11.88
509	Taxi	17.97	$55.88 	30.99
510	Taxi	14.47	$55.96 	24.96
511	Taxi	15.51	$46.42 	26.74
512	Taxi	14.71	$38.53 	25.37
513	Taxi	15.46	$21.03 	26.65
514	Taxi	12.09	$33.11 	20.86
515	Taxi	19.44	$23.40 	33.52
516	Taxi	18.22	$42.17 	31.42
517	Taxi	13.22	$53.62 	22.79
518	Taxi	12.63	$31.18 	21.78
519	Taxi	17.3	$48.79 	29.84
520	Taxi	14.88	$40.70 	25.66
521	Taxi	13.38	$39.77 	23.07
522	Taxi	12.25	$38.21 	21.13
523	Taxi	13.79	$41.57 	23.78
524	Taxi	15.79	$26.55 	27.22
525	Taxi	15.39	$11.79 	26.54
526	Taxi	16.95	$51.30 	29.24
527	Taxi	19.72	$19.66 	34.0
528	Taxi	22.21	$46.76 	38.29
529	Taxi	21.94	$45.58 	37.83
530	Taxi	14.41	$22.46 	24.85
531	Taxi	18.62	$44.81 	32.11
532	Taxi	10.86	$31.21 	18.72
533	Taxi	16.81	$31.20 	28.99
534	Taxi	11.49	$56.91 	19.81
535	Taxi	15.34	$51.54 	26.45
536	Taxi	17.61	$53.80 	30.37
537	Taxi	14.31	$40.36 	24.67
538	Taxi	10.76	$50.53 	18.56
539	Taxi	14.07	$53.95 	24.26
540	Taxi	19.31	$62.09 	33.3
541	Taxi	12.85	$55.01 	22.16
542	Taxi	13.68	$78.42 	23.59
543	Taxi	15.5	$43.72 	26.73
544	Taxi	17.77	$57.11 	30.65
545	Taxi	12.28	$45.95 	21.17
546	Taxi	20.38	$45.61 	35.15
547	Taxi	14.74	$47.94 	25.42
548	Taxi	20.99	$29.02 	36.19
549	Taxi	15.95	$41.52 	27.51
550	Taxi	13.9	$32.15 	23.96
551	Taxi	16.99	$62.58 	29.29
552	Taxi	15.63	$54.83 	26.95
553	Taxi	18.18	$54.21 	31.34
554	Taxi	14.51	$54.99 	25.03
555	Taxi	16.36	$23.15 	28.21
556	Taxi	14.95	$44.94 	25.78
557	Taxi	9.73	$36.15 	16.78
558	Taxi	17.22	$38.03 	29.69
559	Taxi	14.29	$35.61 	24.65
560	Taxi	13.93	$46.18 	24.03
561	Taxi	8.65	$60.42 	14.92
562	Taxi	10.61	$29.20 	18.29
563	Taxi	12.65	$39.33 	21.81
564	Taxi	13.14	$45.71 	22.65
565	Taxi	17.33	$50.09 	29.89
566	Taxi	15.88	$43.71 	27.38
567	Taxi	14.21	$44.97 	24.51
568	Taxi	18.16	$42.87 	31.31
569	Taxi	12.89	$46.96 	22.22
570	Taxi	15.02	$29.56 	25.91
571	Taxi	12.77	$54.42 	22.02
572	Taxi	15.69	$47.53 	27.06
573	Taxi	17.07	$68.87 	29.43
574	Taxi	21.01	$25.00 	36.23
575	Taxi	19.29	$29.81 	33.26
576	Taxi	17.14	$56.40 	29.56
577	Taxi	16.82	$68.88 	29.0
578	Taxi	18.17	$38.71 	31.33
579	Taxi	25.78	$31.04 	44.45
580	Taxi	15.07	$64.41 	25.99
581	Taxi	16.17	$52.50 	27.89
582	Taxi	15.14	$29.65 	26.1
583	Taxi	8.2	$50.64 	14.14
584	Taxi	16.67	$50.55 	28.75
585	Taxi	6.04	$28.40 	10.42
586	Taxi	13.84	$53.60 	23.87
587	Taxi	13.88	$48.66 	23.94
588	Taxi	17.6	$58.37 	30.34
589	Taxi	17.35	$42.14 	29.92
590	Taxi	12.13	$44.59 	20.92
591	Taxi	15.51	$30.82 	26.75
592	Taxi	13.63	$31.15 	23.51
593	Taxi	15.75	$51.63 	27.16
594	Taxi	14.18	$34.85 	24.45
595	Taxi	15.9	$65.81 	27.41
596	Taxi	11.43	$44.79 	19.7
597	Taxi	17.09	$41.95 	29.47
598	Taxi	15.18	$26.74 	26.17
599	Taxi	12.12	$38.26 	20.91
600	Taxi	15.07	$50.20 	25.98
601	Taxi	14.82	$44.18 	25.56
602	Taxi	18.46	$51.93 	31.83
603	Taxi	18.45	$32.08 	31.81
604	Taxi	10.45	$23.29 	18.02
605	Taxi	12.53	$36.25 	21.61
606	Taxi	15.79	$43.20 	27.23
607	Taxi	19.86	$46.88 	34.24
608	Taxi	13.59	$42.00 	23.44
609	Taxi	12.89	$65.32 	22.22
610	Taxi	19.2	$36.76 	33.1
611	Taxi	15.31	$44.01 	26.41
612	Taxi	15.55	$35.67 	26.81
613	Taxi	10.22	$62.78 	17.62
614	Taxi	17.94	$53.09 	30.93
615	Taxi	12.36	$47.93 	21.32
616	Taxi	20.73	$31.49 	35.74
617	Taxi	22.37	$55.07 	38.57
618	Taxi	23.22	$59.29 	40.04
619	Taxi	11.38	$66.59 	19.62
620	Taxi	10.87	$41.23 	18.74
621	Taxi	15.1	$61.71 	26.03
622	Taxi	17.25	$51.07 	29.74
623	Taxi	18.28	$55.08 	31.51
624	Taxi	8.92	$32.31 	15.38
625	Taxi	10.94	$51.24 	18.87
626	Taxi	16.84	$46.97 	29.04
627	Taxi	20.91	$34.41 	36.06
628	Taxi	17.66	$44.56 	30.45
629	Taxi	12.37	$35.41 	21.34
630	Taxi	16.29	$51.11 	28.08
631	Taxi	18.32	$38.76 	31.58
632	Taxi	15.1	$31.55 	26.03
633	Taxi	13.3	$57.52 	22.94
634	Taxi	16.98	$49.47 	29.28
635	Taxi	18.31	$38.92 	31.57
636	Taxi	15.35	$48.68 	26.46
637	Taxi	16.18	$81.98 	27.91
638	Taxi	18.0	$63.52 	31.04
639	Taxi	15.31	$22.57 	26.4
640	Taxi	8.33	$40.04 	14.37
641	Taxi	15.15	$36.89 	26.13
642	Taxi	15.76	$48.32 	27.18
643	Taxi	20.76	$38.14 	35.8
644	Taxi	18.36	$43.15 	31.66
645	Taxi	12.44	$48.18 	21.45
646	Taxi	11.47	$59.08 	19.77
647	Taxi	9.63	$59.58 	16.61
648	Taxi	14.14	$53.01 	24.38
649	Taxi	17.8	$44.52 	30.69
650	Taxi	15.52	$47.41 	26.77
651	Taxi	12.9	$22.52 	22.24
652	Taxi	15.48	$33.35 	26.69
653	Taxi	20.72	$52.01 	35.73
654	Taxi	13.79	$36.65 	23.78
655	Taxi	10.65	$61.36 	18.37
656	Taxi	16.69	$37.63 	28.78
657	Taxi	13.35	$49.77 	23.01
658	Taxi	8.38	$25.83 	14.45
659	Taxi	18.08	$53.24 	31.17
660	Taxi	17.69	$35.53 	30.5
661	Taxi	10.04	$34.29 	17.32
